İşlem Tarihi,Açıklama,Tutar,Kategori
01.01.2025,MIGROS ANTALYA AVM,-₺234,50,food
02.01.2025,SHELL PETROL ISTANBUL,-₺120,75,transport
03.01.2025,TEKNOSA ELEKTRONIK MAĞAZA,-₺899,99,shopping
04.01.2025,STARBUCKS COFFEE KADIKOY,-₺45,20,food
05.01.2025,BIM MARKET ANKARA ETIMESGUT,-₺89,30,food
06.01.2025,NETFLIX AYLIK ABONELIK,-₺29,99,bills
07.01.2025,DOKTOR MUAYENE UCRETI DR AHMET,-₺300,00,health
08.01.2025,UBER TAKSI ISTANBUL,-₺78,50,transport
09.01.2025,ZARA MAĞAZA BEYLIKDUZU,-₺450,00,shopping
10.01.2025,MC DONALDS TAKSIM,-₺67,80,food